TextContent,TextType,url,Creator,CreatedAt,IssueID,RelatedPrID,IssueCategory,IsMPLF,CleanedTextContent,SentimentScore
"You can go ahead.
",IssueComment,https://github.com/tensorflow/tensorflow/issues/4358#issuecomment-247686656,ghost,2016-09-16 19:29:16,4358,[4421],Documentation bug,0,You can go ahead.,2
It looks the code meant to have `_interactive = False` before the [block](https://github.com/tensorflow/tensorflow/blob/master/tensorflow/python/platform/tf_logging.py#L40). Would you be willing to file a PR?,IssueComment,https://github.com/tensorflow/tensorflow/issues/8401#issuecomment-286629880,drpngx,2017-03-15 03:20:45,8401,[8420],Visualization bug,0,It looks the code meant to have [code] before the [block]([url]#L40). Would you be willing to file a PR?,1
Sure thing!,IssueComment,https://github.com/tensorflow/tensorflow/issues/8401#issuecomment-286632454,nsriram13,2017-03-15 03:41:31,8401,[8420],Visualization bug,0,Sure thing!,3
"Great, thanks!",IssueComment,https://github.com/tensorflow/tensorflow/issues/8401#issuecomment-286775244,drpngx,2017-03-15 15:19:39,8401,[8420],Visualization bug,0,"Great, thanks!",3
"I had the same issue when I was trying to get the max indices.
",IssueComment,https://github.com/tensorflow/tensorflow/issues/1793#issuecomment-212215166,xiongkun,2016-04-20 02:23:18,1793,[8930],Algorithm design bug,0,I had the same issue when I was trying to get the max indices.,0
"this is a bit of a hack, but copying the gradient for maxpool and registering it for max_pool_with_argmax works. The function signature has an additional arg (presumably this has to do with the argmax). Also the op doesn't have a data_format, so that is left default (NHWC).

``` python
from tensorflow.python.framework import ops
from tensorflow.python.ops import gen_nn_ops
@ops.RegisterGradient(""MaxPoolWithArgmax"")
def _MaxPoolWithArgmaxGrad(op, grad, some_other_arg):
  return gen_nn_ops._max_pool_grad(op.inputs[0],
                                   op.outputs[0],
                                   grad,
                                   op.get_attr(""ksize""),
                                   op.get_attr(""strides""),
                                   padding=op.get_attr(""padding""),
                                   data_format='NHWC')
```
",IssueComment,https://github.com/tensorflow/tensorflow/issues/1793#issuecomment-221447775,mwalton,2016-05-25 01:14:30,1793,[8930],Algorithm design bug,0,"this is a bit of a hack, but copying the gradient for maxpool and registering it for max_pool_with_argmax works. The function signature has an additional arg (presumably this has to do with the argmax). Also the op doesn't have a data_format, so that is left default (NHWC). ``[code]``",0
"@mwalton: `some_other_arg` should be called `unused_argmax_grad`, but otherwise that's basically it.  Would you be interesting it submitting your change as a PR?  We'd have to add tests if so (mirroring those for the gradient of the normal max_pool.
",IssueComment,https://github.com/tensorflow/tensorflow/issues/1793#issuecomment-224131073,girving,2016-06-07 00:44:45,1793,[8930],Algorithm design bug,0,"@mwalton: [code] should be called [code], but otherwise that's basically it. Would you be interesting it submitting your change as a PR? We'd have to add tests if so (mirroring those for the gradient of the normal max_pool.",2
"@girving  Sure! Should I go ahead and put in the PR; or implement the tests first?
",IssueComment,https://github.com/tensorflow/tensorflow/issues/1793#issuecomment-224321589,mwalton,2016-06-07 15:40:52,1793,[8930],Algorithm design bug,0,@girving Sure! Should I go ahead and put in the PR; or implement the tests first?,2
"@mwalton: The tests should go in the same PR.
",IssueComment,https://github.com/tensorflow/tensorflow/issues/1793#issuecomment-224322513,girving,2016-06-07 15:43:54,1793,[8930],Algorithm design bug,0,@mwalton: The tests should go in the same PR.,0
"@mwalton Not sure if you've made any progress on this, but I believe the correct change would be the following:

``` python
@ops.RegisterGradient(""MaxPoolWithArgmax"")
def _MaxPoolGradWithArgmax(op, grad, unused_argmax_grad):
  return gen_nn_ops._max_pool_grad_with_argmax(op.inputs[0],
                                               grad,
                                               op.outputs[1],
                                               op.get_attr(""ksize""),
                                               op.get_attr(""strides""),
                                               padding=op.get_attr(""padding""))
```

Seems to be working on a model I'm training. Haven't had time to write tests for it yet, nor do I know how/what tests are needed for registering an existing op (that appears to have **some** test coverage, see https://github.com/tensorflow/tensorflow/blob/master/tensorflow/python/kernel_tests/pooling_ops_test.py#L521). 

@girving If you can provide some direction on what tests I'd need to add for this change, I can try to pull together a PR. 
",IssueComment,https://github.com/tensorflow/tensorflow/issues/1793#issuecomment-234070576,bcaine,2016-07-20 20:24:03,1793,[8930],Algorithm design bug,0,"@mwalton Not sure if you've made any progress on this, but I believe the correct change would be the following: ``[code]`` Seems to be working on a model I'm training. Haven't had time to write tests for it yet, nor do I know how/what tests are needed for registering an existing op (that appears to have **some** test coverage, see [url]#L521). @girving If you can provide some direction on what tests I'd need to add for this change, I can try to pull together a PR.",1
"@bcaine Awesome!  Tests for gradients are pretty easy: just use `tf.test.compute_gradient_error` and verify that the error is small (1e-4 or 1e-3, typically, due to numerical differences).  You can look at other `compute_gradient_error` examples and mimic.
",IssueComment,https://github.com/tensorflow/tensorflow/issues/1793#issuecomment-234071826,girving,2016-07-20 20:28:27,1793,[8930],Algorithm design bug,0,"@bcaine Awesome! Tests for gradients are pretty easy: just use [code] and verify that the error is small (1e-4 or 1e-3, typically, due to numerical differences). You can look at other [code] examples and mimic.",4
"Are there any updates on this issue? It seems that adding this gradient was attempted in #4014, but not taken place due to commit conflicts. Should I cherry-pick commit dc3d4782cbdf2d98b into a PR?",IssueComment,https://github.com/tensorflow/tensorflow/issues/1793#issuecomment-291206249,Enet4,2017-04-03 17:02:00,1793,[8930],Algorithm design bug,0,"Are there any updates on this issue? It seems that adding this gradient was attempted in #4014, but not taken place due to commit conflicts. Should I cherry-pick commit dc3d4782cbdf2d98b into a PR?",0
"@Enet4 Definitely looks stagnated, so feel free to take over.",IssueComment,https://github.com/tensorflow/tensorflow/issues/1793#issuecomment-291207778,girving,2017-04-03 17:06:56,1793,[8930],Algorithm design bug,0,"@Enet4 Definitely looks stagnated, so feel free to take over.",-1
"Hi. I trained a network with @bcaine register ops solution in python. Now I exported my graph using freeze_graph.py to use my network in C++. But there, this gradient is not registered.
Can anyone help how this can be for C++/ source?",IssueComment,https://github.com/tensorflow/tensorflow/issues/1793#issuecomment-302686807,eflavio,2017-05-19 12:14:00,1793,[8930],Algorithm design bug,0,"Hi. I trained a network with @bcaine register ops solution in python. Now I exported my graph using freeze_graph.py to use my network in C++. But there, this gradient is not registered. Can anyone help how this can be for C++/ source?",0
"Hey, is anyone doing anything about the lack of gradient?",IssueComment,https://github.com/tensorflow/tensorflow/issues/1793#issuecomment-303909054,will-hang,2017-05-25 02:58:14,1793,[8930],Algorithm design bug,0,"Hey, is anyone doing anything about the lack of gradient?",-1
"It's typically an error in the MD format, like missing spaces in front the bullet.",IssueComment,https://github.com/tensorflow/tensorflow/issues/9313#issuecomment-295343293,drpngx,2017-04-19 16:55:13,9313,[10423],Documentation bug,0,"It's typically an error in the MD format, like missing spaces in front the bullet.",0
"Where are the instructions on how to generate the docs?

I could make this fix here and in multiple other places if I can just generate the docs to check that my changes fix things like this.",IssueComment,https://github.com/tensorflow/tensorflow/issues/9313#issuecomment-296825550,dmonopoly,2017-04-24 21:20:04,9313,[10423],Documentation bug,0,Where are the instructions on how to generate the docs? I could make this fix here and in multiple other places if I can just generate the docs to check that my changes fix things like this.,1
Nm found it here via #1574  https://github.com/tensorflow/tensorflow/blob/master/tensorflow/docs_src/community/documentation.md,IssueComment,https://github.com/tensorflow/tensorflow/issues/9313#issuecomment-298067116,dmonopoly,2017-04-28 18:04:51,9313,[10423],Documentation bug,0,Nm found it here via #1574 [url],0
I think the issue is the extra line in `metrics:` args description in python code. PR #10423 ,IssueComment,https://github.com/tensorflow/tensorflow/issues/9313#issuecomment-306005731,yongtang,2017-06-03 22:41:45,9313,[10423],Documentation bug,0,I think the issue is the extra line in [code] args description in python code. PR #10423,0
Could you fix or delegate this @wolffg?,IssueComment,https://github.com/tensorflow/tensorflow/issues/8718#issuecomment-289881536,aselle,2017-03-28 19:40:20,8718,[10658],Documentation bug,0,Could you fix or delegate this @wolffg?,0
Added a PR #10658 for that.,IssueComment,https://github.com/tensorflow/tensorflow/issues/8718#issuecomment-307891796,yongtang,2017-06-12 19:17:20,8718,[10658],Documentation bug,0,Added a PR #10658 for that.,0
Maybe @mrry can comment on what might be an issue with the `tf.sparse_placeholder` shape API.,IssueComment,https://github.com/tensorflow/tensorflow/issues/6749#issuecomment-271765776,jart,2017-01-11 03:06:59,6749,[11153],Version compatibility bug,0,Maybe @mrry can comment on what might be an issue with the [code] shape API.,0
"Looks like the problem is in `array_ops._normalize_sparse_shape()`. It converts its argument to a tensor, which for a list of Python `int` values will result in a `tf.int32` tensor. I suspect the correct answer is to add a `dtype=dtypes.int64` to the `ops.convert_to_tensor()` call, but since there doesn't appear to be any unit test for this I'll defer to @ilblackdragon, who originally added that function.",IssueComment,https://github.com/tensorflow/tensorflow/issues/6749#issuecomment-271934860,mrry,2017-01-11 17:30:56,6749,[11153],Version compatibility bug,0,"Looks like the problem is in [code]. It converts its argument to a tensor, which for a list of Python [code] values will result in a [code] tensor. I suspect the correct answer is to add a [code] to the [code] call, but since there doesn't appear to be any unit test for this I'll defer to @ilblackdragon, who originally added that function.",0
"simple workaround:

`shape = [1, 3]`
`shape = np.array(shape, dtype=np.int64)`
`tf.sparse_placeholder(tf.int32, shape=shape)`",IssueComment,https://github.com/tensorflow/tensorflow/issues/6749#issuecomment-272385201,kilianyp,2017-01-13 08:12:05,6749,[11153],Version compatibility bug,0,simple workaround: [code] [code] [code],0
"Any update on this issue? @ilblackdragon 
In my experience the workaround does __not__ work because then it complains about:

`ValueError: Tensor Tensor(""Input_2/shape_1:0"", shape=(2,), dtype=int64) may not be fed.`

In other words: it doesn't want to do Tensor conversion itself, but it also doesn't accept to be fed with the `int64` shape Tensor.",IssueComment,https://github.com/tensorflow/tensorflow/issues/6749#issuecomment-286632439,michaelosthege,2017-03-15 03:41:26,6749,[11153],Version compatibility bug,0,"Any update on this issue? @ilblackdragon In my experience the workaround does __not__ work because then it complains about: [code] In other words: it doesn't want to do Tensor conversion itself, but it also doesn't accept to be fed with the [code] shape Tensor.",-3
I also seem to be having the same problem.  Has there been any progress on this issue?,IssueComment,https://github.com/tensorflow/tensorflow/issues/6749#issuecomment-295020413,rolfe,2017-04-19 00:00:41,6749,[11153],Version compatibility bug,0,I also seem to be having the same problem. Has there been any progress on this issue?,0
"The workaround is all well and good

```
>> foo = tf.sparse_placeholder(tf.float32, shape=np.array([10, 47], dtype=np.int64))
>> foo.get_shape()
TensorShape([Dimension(10), Dimension(47)])
```

.... until you want a variable dimension

```
>> bar = tf.sparse_placeholder(tf.float32, shape=[None, 47])
>> bar.get_shape()
TensorShape(None)
>> bar2 = tf.sparse_placeholder(tf.float32, shape=np.array([None, 47], dtype=np.int64))
TypeError: int() argument must be a string, a bytes-like object or a number, not 'NoneType'
```",IssueComment,https://github.com/tensorflow/tensorflow/issues/6749#issuecomment-297891681,meereeum,2017-04-28 02:36:44,6749,[11153],Version compatibility bug,0,The workaround is all well and good ``[code]`[code]`[code]``,0
Marking this as contributions welcome. @ilblackdragon please let me know if you plan to fix this.,IssueComment,https://github.com/tensorflow/tensorflow/issues/6749#issuecomment-309139901,skye,2017-06-16 21:37:05,6749,[11153],Version compatibility bug,0,Marking this as contributions welcome. @ilblackdragon please let me know if you plan to fix this.,0
Added a PR #11153 with test cases.,IssueComment,https://github.com/tensorflow/tensorflow/issues/6749#issuecomment-312127183,yongtang,2017-06-29 22:36:30,6749,[11153],Version compatibility bug,0,Added a PR #11153 with test cases.,3
"@martinwicke, @josh11b , this seems to come from the attribute specifier only allowing a >= optionally and not ==. 
i.e.
```
REGISTER_OP(""AvgPool"")
    .Input(""value: T"")
    .Output(""output: T"")
    .Attr(""ksize: list(int) >= 4"")
    .Attr(""strides: list(int) >= 4"")
    .Attr(GetPaddingAttrString())
    .Attr(GetConvnetDataFormatAttrString())
    .Attr(""T: {half, float, double}"")
    .SetShapeFn(shape_inference::AvgPoolShape)
    .Doc(R""doc(
```
We can't make it list(int) == 4, because the op registration class doesn't support that for Attr. However, since the attribute constraint gets auto placed in the docs i.e. here:
https://www.tensorflow.org/api_docs/python/tf/nn/max_pool

It is confusing, maybe we should

1. not  include the list constraints in auto-generated documentation.
2. augment list constraints to allow == as well as >=.

",IssueComment,https://github.com/tensorflow/tensorflow/issues/10729#issuecomment-308895222,aselle,2017-06-15 23:48:21,10729,[11925],Documentation bug,0,"@martinwicke, @josh11b , this seems to come from the attribute specifier only allowing a >= optionally and not ==. i.e. ``[code]`` We can't make it list(int) == 4, because the op registration class doesn't support that for Attr. However, since the attribute constraint gets auto placed in the docs i.e. here: [url] It is confusing, maybe we should 1. not include the list constraints in auto-generated documentation. 2. augment list constraints to allow == as well as >=.",0
"Two things we can do: support more constraint types (good, but work), and add support for = at the beginning of the doc string for attrs suppressing the generated prefix (which currently works for tensor inputs).",IssueComment,https://github.com/tensorflow/tensorflow/issues/10729#issuecomment-308899336,josh11b,2017-06-16 00:19:45,10729,[11925],Documentation bug,0,"Two things we can do: support more constraint types (good, but work), and add support for = at the beginning of the doc string for attrs suppressing the generated prefix (which currently works for tensor inputs).",1
"If you are accepting PRs for this and could point me to some resources to study how this works in detail (like the op registration class for one), I'd be happy to do one.",IssueComment,https://github.com/tensorflow/tensorflow/issues/10729#issuecomment-308900566,jkschin,2017-06-16 00:29:32,10729,[11925],Documentation bug,0,"If you are accepting PRs for this and could point me to some resources to study how this works in detail (like the op registration class for one), I'd be happy to do one.",5
"If you want to fix the >= / = / == parsing issue, the code that processes that lives here in tensorflow/core/framework/op_def_builder.cc line 221ff. You could allow == as a token, and then we could use that in the Op registrations. There's no documentation for this, just the code.

We would love a PR for that.",IssueComment,https://github.com/tensorflow/tensorflow/issues/10729#issuecomment-309112348,martinwicke,2017-06-16 19:18:48,10729,[11925],Documentation bug,0,"If you want to fix the >= / = / == parsing issue, the code that processes that lives here in tensorflow/core/framework/op_def_builder.cc line 221ff. You could allow == as a token, and then we could use that in the Op registrations. There's no documentation for this, just the code. We would love a PR for that.",2
"Josh also suggested there is a := syntax that lets you remove the constraint part in the docs and provide your own text completely.
",IssueComment,https://github.com/tensorflow/tensorflow/issues/10729#issuecomment-309133461,aselle,2017-06-16 21:02:22,10729,[11925],Documentation bug,0,Josh also suggested there is a := syntax that lets you remove the constraint part in the docs and provide your own text completely.,0
"Added PR #11925 for the fix. As both `max_pool` and `avg_pool` are wrapped in the python code, the fix only changes the docstring in tensorflow/python/ops/nn_ops.py.",IssueComment,https://github.com/tensorflow/tensorflow/issues/10729#issuecomment-319246820,yongtang,2017-08-01 02:04:00,10729,[11925],Documentation bug,0,"Added PR #11925 for the fix. As both [code] and [code] are wrapped in the python code, the fix only changes the docstring in tensorflow/python/ops/nn_ops.py.",0
@martinwicke can you comment or redirect? Thanks.,IssueComment,https://github.com/tensorflow/tensorflow/issues/12249#issuecomment-322219024,skye,2017-08-14 15:17:04,12249,[12276],Version compatibility bug,0,@martinwicke can you comment or redirect? Thanks.,0
"Yes, we're using getargspec, which doesn't support type annotations. This is worthwhile to fix. If someone wants to take it on, the code should be relatively isolated in a single function which is checking arguments. ",IssueComment,https://github.com/tensorflow/tensorflow/issues/12249#issuecomment-322243326,martinwicke,2017-08-14 16:46:52,12249,[12276],Version compatibility bug,0,"Yes, we're using getargspec, which doesn't support type annotations. This is worthwhile to fix. If someone wants to take it on, the code should be relatively isolated in a single function which is checking arguments.",2
Added a PR #12276 for this issue.,IssueComment,https://github.com/tensorflow/tensorflow/issues/12249#issuecomment-322280659,yongtang,2017-08-14 19:08:12,12249,[12276],Version compatibility bug,0,Added a PR #12276 for this issue.,0
I think `optimize` flag should be respected. Added a PR #12459 for it.,IssueComment,https://github.com/tensorflow/tensorflow/issues/12436#issuecomment-323862399,yongtang,2017-08-21 21:50:52,12436,[12459],Algorithm design bug,0,I think [code] flag should be respected. Added a PR #12459 for it.,2
"@benoitsteiner, could you please update this issue upon concluding review of #12459? Thanks",IssueComment,https://github.com/tensorflow/tensorflow/issues/12436#issuecomment-325258541,ali01,2017-08-28 04:40:04,12436,[12459],Algorithm design bug,0,"@benoitsteiner, could you please update this issue upon concluding review of #12459? Thanks",1
Created a PR #12658 for that.,IssueComment,https://github.com/tensorflow/tensorflow/issues/12641#issuecomment-325474788,yongtang,2017-08-28 20:40:29,12641,[12658],Memory bug,0,Created a PR #12658 for that.,0
"Slurping the whole file into memory and writing it back out isn't exactly optimal. Streaming would be great. What would be even better is the [`sendfile`](http://man7.org/linux/man-pages/man2/sendfile.2.html) system call, which does it entirely in kernel space. If would be terrific if @rohan100jain was able to implement that when src and dst are Unix FS, and do streaming otherwise.",IssueComment,https://github.com/tensorflow/tensorflow/issues/12641#issuecomment-326123868,jart,2017-08-30 21:25:41,12641,[12658],Memory bug,0,"Slurping the whole file into memory and writing it back out isn't exactly optimal. Streaming would be great. What would be even better is the [[code]]([url] system call, which does it entirely in kernel space. If would be terrific if @rohan100jain was able to implement that when src and dst are Unix FS, and do streaming otherwise.",2
The implementation of CopyFile in PR #12658 has been updated with calling `sendfile` in Linux for posix file systems. Please take a look.,IssueComment,https://github.com/tensorflow/tensorflow/issues/12641#issuecomment-326179771,yongtang,2017-08-31 03:31:17,12641,[12658],Memory bug,0,The implementation of CopyFile in PR #12658 has been updated with calling [code] in Linux for posix file systems. Please take a look.,0
It has been 14 days with no activity and this issue has an assignee.Please update the label and/or status accordingly.,IssueComment,https://github.com/tensorflow/tensorflow/issues/12641#issuecomment-352936418,tensorflowbutler,2017-12-20 01:18:55,12641,[12658],Memory bug,0,It has been 14 days with no activity and this issue has an assignee.Please update the label and/or status accordingly.,0
It has been 14 days with no activity and this issue has an assignee.Please update the label and/or status accordingly.,IssueComment,https://github.com/tensorflow/tensorflow/issues/12641#issuecomment-355099387,tensorflowbutler,2018-01-03 19:11:44,12641,[12658],Memory bug,0,It has been 14 days with no activity and this issue has an assignee.Please update the label and/or status accordingly.,0
Nagging Assignee: It has been 14 days with no activity and this issue has an assignee. Please update the label and/or status accordingly.,IssueComment,https://github.com/tensorflow/tensorflow/issues/12641#issuecomment-358751313,tensorflowbutler,2018-01-18 19:13:55,12641,[12658],Memory bug,0,Nagging Assignee: It has been 14 days with no activity and this issue has an assignee. Please update the label and/or status accordingly.,-2
Nagging Assignee: It has been 14 days with no activity and this issue has an assignee. Please update the label and/or status accordingly.,IssueComment,https://github.com/tensorflow/tensorflow/issues/12641#issuecomment-363337091,tensorflowbutler,2018-02-06 07:42:08,12641,[12658],Memory bug,0,Nagging Assignee: It has been 14 days with no activity and this issue has an assignee. Please update the label and/or status accordingly.,-2
"There's a PR somewhere adding in-kernel sendfile copy support I spent a lot of time helping to review a while back. I don't know what the status of that is, but I hope the author is generous enough to bring it to completion, because it'd be a great notch in his belt because this isn't an easy problem to solve.",IssueComment,https://github.com/tensorflow/tensorflow/issues/12641#issuecomment-363464831,jart,2018-02-06 15:49:13,12641,[12658],Memory bug,0,"There's a PR somewhere adding in-kernel sendfile copy support I spent a lot of time helping to review a while back. I don't know what the status of that is, but I hope the author is generous enough to bring it to completion, because it'd be a great notch in his belt because this isn't an easy problem to solve.",2
It's the PR cited above - #12658 ,IssueComment,https://github.com/tensorflow/tensorflow/issues/12641#issuecomment-363470177,quaeler,2018-02-06 16:04:32,12641,[12658],Memory bug,0,It's the PR cited above - #12658,0
"@MarkDaoust we should update the pre-requisites.

Thank for reporting this, @eaperz! If you want to send a PR, that's also great.",IssueComment,https://github.com/tensorflow/tensorflow/issues/12821#issuecomment-327250758,drpngx,2017-09-05 17:40:30,12821,[12839],Code bug,0,"@MarkDaoust we should update the pre-requisites. Thank for reporting this, @eaperz! If you want to send a PR, that's also great.",3
Is it good to check whether `patch` is installed before it is invoked [here](https://github.com/tensorflow/tensorflow/blob/12a628a623a5dae81b8fc699792eaf414e6ace41/tensorflow/workspace.bzl#L110)?,IssueComment,https://github.com/tensorflow/tensorflow/issues/12821#issuecomment-327377723,facaiy,2017-09-06 05:21:09,12821,[12839],Code bug,0,Is it good to check whether [code] is installed before it is invoked [here]([url]#L110)?,0
"I think it should be checked in a pre-requisite stage, along with all other pre-requisites to build. Unfortunately it's my first contact with tensorflow and I have no idea where in the code is this verification done.",IssueComment,https://github.com/tensorflow/tensorflow/issues/12821#issuecomment-327382384,boared,2017-09-06 05:54:05,12821,[12839],Code bug,0,"I think it should be checked in a pre-requisite stage, along with all other pre-requisites to build. Unfortunately it's my first contact with tensorflow and I have no idea where in the code is this verification done.",0
"@eaperz  I agree with you. Since I'm not familiar with bazel, I don't know how to do pre-check yet.",IssueComment,https://github.com/tensorflow/tensorflow/issues/12821#issuecomment-327383234,facaiy,2017-09-06 05:59:49,12821,[12839],Code bug,0,"@eaperz I agree with you. Since I'm not familiar with bazel, I don't know how to do pre-check yet.",0
Best place would probably be in the `configure`(https://github.com/tensorflow/tensorflow/blob/master/configure.py) script.,IssueComment,https://github.com/tensorflow/tensorflow/issues/12821#issuecomment-327602275,drpngx,2017-09-06 20:23:17,12821,[12839],Code bug,0,Best place would probably be in the [code]([url] script.,0
"This means modifying UNARY_GRADIENT_COMPLEX macro and changing x to y and y to dy for every op that uses it, are you sure that wouldn't break things/contradict documentation for those other ops? BTW, you can press ""y"" in github to generate a permanent link with line number reference",IssueComment,https://github.com/tensorflow/tensorflow/issues/12902#issuecomment-328376465,yaroslavvb,2017-09-10 22:22:21,12902,[13212],Documentation bug,0,"This means modifying UNARY_GRADIENT_COMPLEX macro and changing x to y and y to dy for every op that uses it, are you sure that wouldn't break things/contradict documentation for those other ops? BTW, you can press ""y"" in github to generate a permanent link with line number reference",0
" @yaroslavvb, it doesn't contradict documentation for other operations which use UNARY_GRADIENT_COMPLEX macros, because the other ops use 'y' and 'dy' names in docs.

Thanks for your suggestion, I updated the issue with permanent links.",IssueComment,https://github.com/tensorflow/tensorflow/issues/12902#issuecomment-328442194,Dorokhov,2017-09-11 07:29:56,12902,[13212],Documentation bug,0,"@yaroslavvb, it doesn't contradict documentation for other operations which use UNARY_GRADIENT_COMPLEX macros, because the other ops use 'y' and 'dy' names in docs. Thanks for your suggestion, I updated the issue with permanent links.",2
